time_bucket,time_range,price_delta_bucket,price_delta_label,count_up,count_down,total,p_up,p_down,p_up_wilson_lower,p_up_wilson_upper,beta_alpha,beta_beta,confidence_level
0,0:00-0:15,-17,< -$300,0,0,0,0.5000,0.5000,0.0000,1.0000,1.00,1.00,Unreliable
0,0:00-0:15,-16,-$300 to -$260,0,0,0,0.5000,0.5000,0.0000,1.0000,1.00,1.00,Unreliable
0,0:00-0:15,-15,-$260 to -$230,0,0,0,0.5000,0.5000,0.0000,1.0000,1.00,1.00,Unreliable
0,0:00-0:15,-14,-$230 to -$200,0,0,0,0.5000,0.5000,0.0000,1.0000,1.00,1.00,Unreliable
0,0:00-0:15,-13,-$200 to -$170,0,0,0,0.5000,0.5000,0.0000,1.0000,1.00,1.00,Unreliable
0,0:00-0:15,-12,-$170 to -$140,0,0,0,0.5000,0.5000,0.0000,1.0000,1.00,1.00,Unreliable
0,0:00-0:15,-11,-$140 to -$110,0,0,0,0.5000,0.5000,0.0000,1.0000,1.00,1.00,Unreliable
0,0:00-0:15,-10,-$110 to -$90,0,0,0,0.5000,0.5000,0.0000,1.0000,1.00,1.00,Unreliable
0,0:00-0:15,-9,-$90 to -$70,0,0,0,0.5000,0.5000,0.0000,1.0000,1.00,1.00,Unreliable
0,0:00-0:15,-8,-$70 to -$50,0,0,0,0.5000,0.5000,0.0000,1.0000,1.00,1.00,Unreliable
0,0:00-0:15,-7,-$50 to -$40,0,0,0,0.5000,0.5000,0.0000,1.0000,1.00,1.00,Unreliable
0,0:00-0:15,-6,-$40 to -$30,0,0,0,0.5000,0.5000,0.0000,1.0000,1.00,1.00,Unreliable
0,0:00-0:15,-5,-$30 to -$20,0,0,0,0.5000,0.5000,0.0000,1.0000,1.00,1.00,Unreliable
0,0:00-0:15,-4,-$20 to -$15,0,0,0,0.5000,0.5000,0.0000,1.0000,1.00,1.00,Unreliable
0,0:00-0:15,-3,-$15 to -$10,0,0,0,0.5000,0.5000,0.0000,1.0000,1.00,1.00,Unreliable
0,0:00-0:15,-2,-$10 to -$5,0,0,0,0.5000,0.5000,0.0000,1.0000,1.00,1.00,Unreliable
0,0:00-0:15,-1,-$5 to $0,0,0,0,0.5000,0.5000,0.0000,1.0000,1.00,1.00,Unreliable
0,0:00-0:15,0,$0 to +$5,8580,8700,17280,0.4965,0.5035,0.4891,0.5040,8581.00,8701.00,Strong
0,0:00-0:15,1,+$5 to +$10,0,0,0,0.5000,0.5000,0.0000,1.0000,1.00,1.00,Unreliable
0,0:00-0:15,2,+$10 to +$15,0,0,0,0.5000,0.5000,0.0000,1.0000,1.00,1.00,Unreliable
0,0:00-0:15,3,+$15 to +$20,0,0,0,0.5000,0.5000,0.0000,1.0000,1.00,1.00,Unreliable
0,0:00-0:15,4,+$20 to +$30,0,0,0,0.5000,0.5000,0.0000,1.0000,1.00,1.00,Unreliable
0,0:00-0:15,5,+$30 to +$40,0,0,0,0.5000,0.5000,0.0000,1.0000,1.00,1.00,Unreliable
0,0:00-0:15,6,+$40 to +$50,0,0,0,0.5000,0.5000,0.0000,1.0000,1.00,1.00,Unreliable
0,0:00-0:15,7,+$50 to +$70,0,0,0,0.5000,0.5000,0.0000,1.0000,1.00,1.00,Unreliable
0,0:00-0:15,8,+$70 to +$90,0,0,0,0.5000,0.5000,0.0000,1.0000,1.00,1.00,Unreliable
0,0:00-0:15,9,+$90 to +$110,0,0,0,0.5000,0.5000,0.0000,1.0000,1.00,1.00,Unreliable
0,0:00-0:15,10,+$110 to +$140,0,0,0,0.5000,0.5000,0.0000,1.0000,1.00,1.00,Unreliable
0,0:00-0:15,11,+$140 to +$170,0,0,0,0.5000,0.5000,0.0000,1.0000,1.00,1.00,Unreliable
0,0:00-0:15,12,+$170 to +$200,0,0,0,0.5000,0.5000,0.0000,1.0000,1.00,1.00,Unreliable
0,0:00-0:15,13,+$200 to +$230,0,0,0,0.5000,0.5000,0.0000,1.0000,1.00,1.00,Unreliable
0,0:00-0:15,14,+$230 to +$260,0,0,0,0.5000,0.5000,0.0000,1.0000,1.00,1.00,Unreliable
0,0:00-0:15,15,+$260 to +$300,0,0,0,0.5000,0.5000,0.0000,1.0000,1.00,1.00,Unreliable
0,0:00-0:15,16,> +$300,0,0,0,0.5000,0.5000,0.0000,1.0000,1.00,1.00,Unreliable
1,0:15-0:30,-17,< -$300,0,0,0,0.5000,0.5000,0.0000,1.0000,1.00,1.00,Unreliable
1,0:15-0:30,-16,-$300 to -$260,0,0,0,0.5000,0.5000,0.0000,1.0000,1.00,1.00,Unreliable
1,0:15-0:30,-15,-$260 to -$230,0,0,0,0.5000,0.5000,0.0000,1.0000,1.00,1.00,Unreliable
1,0:15-0:30,-14,-$230 to -$200,0,0,0,0.5000,0.5000,0.0000,1.0000,1.00,1.00,Unreliable
1,0:15-0:30,-13,-$200 to -$170,0,0,0,0.5000,0.5000,0.0000,1.0000,1.00,1.00,Unreliable
1,0:15-0:30,-12,-$170 to -$140,0,0,0,0.5000,0.5000,0.0000,1.0000,1.00,1.00,Unreliable
1,0:15-0:30,-11,-$140 to -$110,0,0,0,0.5000,0.5000,0.0000,1.0000,1.00,1.00,Unreliable
1,0:15-0:30,-10,-$110 to -$90,0,0,0,0.5000,0.5000,0.0000,1.0000,1.00,1.00,Unreliable
1,0:15-0:30,-9,-$90 to -$70,0,0,0,0.5000,0.5000,0.0000,1.0000,1.00,1.00,Unreliable
1,0:15-0:30,-8,-$70 to -$50,0,0,0,0.5000,0.5000,0.0000,1.0000,1.00,1.00,Unreliable
1,0:15-0:30,-7,-$50 to -$40,0,0,0,0.5000,0.5000,0.0000,1.0000,1.00,1.00,Unreliable
1,0:15-0:30,-6,-$40 to -$30,0,0,0,0.5000,0.5000,0.0000,1.0000,1.00,1.00,Unreliable
1,0:15-0:30,-5,-$30 to -$20,0,0,0,0.5000,0.5000,0.0000,1.0000,1.00,1.00,Unreliable
1,0:15-0:30,-4,-$20 to -$15,0,0,0,0.5000,0.5000,0.0000,1.0000,1.00,1.00,Unreliable
1,0:15-0:30,-3,-$15 to -$10,0,0,0,0.5000,0.5000,0.0000,1.0000,1.00,1.00,Unreliable
1,0:15-0:30,-2,-$10 to -$5,0,0,0,0.5000,0.5000,0.0000,1.0000,1.00,1.00,Unreliable
1,0:15-0:30,-1,-$5 to $0,0,0,0,0.5000,0.5000,0.0000,1.0000,1.00,1.00,Unreliable
1,0:15-0:30,0,$0 to +$5,8580,8700,17280,0.4965,0.5035,0.4891,0.5040,8581.00,8701.00,Strong
1,0:15-0:30,1,+$5 to +$10,0,0,0,0.5000,0.5000,0.0000,1.0000,1.00,1.00,Unreliable
1,0:15-0:30,2,+$10 to +$15,0,0,0,0.5000,0.5000,0.0000,1.0000,1.00,1.00,Unreliable
1,0:15-0:30,3,+$15 to +$20,0,0,0,0.5000,0.5000,0.0000,1.0000,1.00,1.00,Unreliable
1,0:15-0:30,4,+$20 to +$30,0,0,0,0.5000,0.5000,0.0000,1.0000,1.00,1.00,Unreliable
1,0:15-0:30,5,+$30 to +$40,0,0,0,0.5000,0.5000,0.0000,1.0000,1.00,1.00,Unreliable
1,0:15-0:30,6,+$40 to +$50,0,0,0,0.5000,0.5000,0.0000,1.0000,1.00,1.00,Unreliable
1,0:15-0:30,7,+$50 to +$70,0,0,0,0.5000,0.5000,0.0000,1.0000,1.00,1.00,Unreliable
1,0:15-0:30,8,+$70 to +$90,0,0,0,0.5000,0.5000,0.0000,1.0000,1.00,1.00,Unreliable
1,0:15-0:30,9,+$90 to +$110,0,0,0,0.5000,0.5000,0.0000,1.0000,1.00,1.00,Unreliable
1,0:15-0:30,10,+$110 to +$140,0,0,0,0.5000,0.5000,0.0000,1.0000,1.00,1.00,Unreliable
1,0:15-0:30,11,+$140 to +$170,0,0,0,0.5000,0.5000,0.0000,1.0000,1.00,1.00,Unreliable
1,0:15-0:30,12,+$170 to +$200,0,0,0,0.5000,0.5000,0.0000,1.0000,1.00,1.00,Unreliable
1,0:15-0:30,13,+$200 to +$230,0,0,0,0.5000,0.5000,0.0000,1.0000,1.00,1.00,Unreliable
1,0:15-0:30,14,+$230 to +$260,0,0,0,0.5000,0.5000,0.0000,1.0000,1.00,1.00,Unreliable
1,0:15-0:30,15,+$260 to +$300,0,0,0,0.5000,0.5000,0.0000,1.0000,1.00,1.00,Unreliable
1,0:15-0:30,16,> +$300,0,0,0,0.5000,0.5000,0.0000,1.0000,1.00,1.00,Unreliable
2,0:30-0:45,-17,< -$300,0,0,0,0.5000,0.5000,0.0000,1.0000,1.00,1.00,Unreliable
2,0:30-0:45,-16,-$300 to -$260,0,0,0,0.5000,0.5000,0.0000,1.0000,1.00,1.00,Unreliable
2,0:30-0:45,-15,-$260 to -$230,0,0,0,0.5000,0.5000,0.0000,1.0000,1.00,1.00,Unreliable
2,0:30-0:45,-14,-$230 to -$200,0,0,0,0.5000,0.5000,0.0000,1.0000,1.00,1.00,Unreliable
2,0:30-0:45,-13,-$200 to -$170,0,0,0,0.5000,0.5000,0.0000,1.0000,1.00,1.00,Unreliable
2,0:30-0:45,-12,-$170 to -$140,0,0,0,0.5000,0.5000,0.0000,1.0000,1.00,1.00,Unreliable
2,0:30-0:45,-11,-$140 to -$110,0,0,0,0.5000,0.5000,0.0000,1.0000,1.00,1.00,Unreliable
2,0:30-0:45,-10,-$110 to -$90,0,0,0,0.5000,0.5000,0.0000,1.0000,1.00,1.00,Unreliable
2,0:30-0:45,-9,-$90 to -$70,0,0,0,0.5000,0.5000,0.0000,1.0000,1.00,1.00,Unreliable
2,0:30-0:45,-8,-$70 to -$50,0,0,0,0.5000,0.5000,0.0000,1.0000,1.00,1.00,Unreliable
2,0:30-0:45,-7,-$50 to -$40,0,0,0,0.5000,0.5000,0.0000,1.0000,1.00,1.00,Unreliable
2,0:30-0:45,-6,-$40 to -$30,0,0,0,0.5000,0.5000,0.0000,1.0000,1.00,1.00,Unreliable
2,0:30-0:45,-5,-$30 to -$20,0,0,0,0.5000,0.5000,0.0000,1.0000,1.00,1.00,Unreliable
2,0:30-0:45,-4,-$20 to -$15,0,0,0,0.5000,0.5000,0.0000,1.0000,1.00,1.00,Unreliable
2,0:30-0:45,-3,-$15 to -$10,0,0,0,0.5000,0.5000,0.0000,1.0000,1.00,1.00,Unreliable
2,0:30-0:45,-2,-$10 to -$5,0,0,0,0.5000,0.5000,0.0000,1.0000,1.00,1.00,Unreliable
2,0:30-0:45,-1,-$5 to $0,0,0,0,0.5000,0.5000,0.0000,1.0000,1.00,1.00,Unreliable
2,0:30-0:45,0,$0 to +$5,8580,8700,17280,0.4965,0.5035,0.4891,0.5040,8581.00,8701.00,Strong
2,0:30-0:45,1,+$5 to +$10,0,0,0,0.5000,0.5000,0.0000,1.0000,1.00,1.00,Unreliable
2,0:30-0:45,2,+$10 to +$15,0,0,0,0.5000,0.5000,0.0000,1.0000,1.00,1.00,Unreliable
2,0:30-0:45,3,+$15 to +$20,0,0,0,0.5000,0.5000,0.0000,1.0000,1.00,1.00,Unreliable
2,0:30-0:45,4,+$20 to +$30,0,0,0,0.5000,0.5000,0.0000,1.0000,1.00,1.00,Unreliable
2,0:30-0:45,5,+$30 to +$40,0,0,0,0.5000,0.5000,0.0000,1.0000,1.00,1.00,Unreliable
2,0:30-0:45,6,+$40 to +$50,0,0,0,0.5000,0.5000,0.0000,1.0000,1.00,1.00,Unreliable
2,0:30-0:45,7,+$50 to +$70,0,0,0,0.5000,0.5000,0.0000,1.0000,1.00,1.00,Unreliable
2,0:30-0:45,8,+$70 to +$90,0,0,0,0.5000,0.5000,0.0000,1.0000,1.00,1.00,Unreliable
2,0:30-0:45,9,+$90 to +$110,0,0,0,0.5000,0.5000,0.0000,1.0000,1.00,1.00,Unreliable
2,0:30-0:45,10,+$110 to +$140,0,0,0,0.5000,0.5000,0.0000,1.0000,1.00,1.00,Unreliable
2,0:30-0:45,11,+$140 to +$170,0,0,0,0.5000,0.5000,0.0000,1.0000,1.00,1.00,Unreliable
2,0:30-0:45,12,+$170 to +$200,0,0,0,0.5000,0.5000,0.0000,1.0000,1.00,1.00,Unreliable
2,0:30-0:45,13,+$200 to +$230,0,0,0,0.5000,0.5000,0.0000,1.0000,1.00,1.00,Unreliable
2,0:30-0:45,14,+$230 to +$260,0,0,0,0.5000,0.5000,0.0000,1.0000,1.00,1.00,Unreliable
2,0:30-0:45,15,+$260 to +$300,0,0,0,0.5000,0.5000,0.0000,1.0000,1.00,1.00,Unreliable
2,0:30-0:45,16,> +$300,0,0,0,0.5000,0.5000,0.0000,1.0000,1.00,1.00,Unreliable
3,0:45-1:00,-17,< -$300,0,0,0,0.5000,0.5000,0.0000,1.0000,1.00,1.00,Unreliable
3,0:45-1:00,-16,-$300 to -$260,0,0,0,0.5000,0.5000,0.0000,1.0000,1.00,1.00,Unreliable
3,0:45-1:00,-15,-$260 to -$230,0,0,0,0.5000,0.5000,0.0000,1.0000,1.00,1.00,Unreliable
3,0:45-1:00,-14,-$230 to -$200,0,0,0,0.5000,0.5000,0.0000,1.0000,1.00,1.00,Unreliable
3,0:45-1:00,-13,-$200 to -$170,0,0,0,0.5000,0.5000,0.0000,1.0000,1.00,1.00,Unreliable
3,0:45-1:00,-12,-$170 to -$140,0,0,0,0.5000,0.5000,0.0000,1.0000,1.00,1.00,Unreliable
3,0:45-1:00,-11,-$140 to -$110,0,0,0,0.5000,0.5000,0.0000,1.0000,1.00,1.00,Unreliable
3,0:45-1:00,-10,-$110 to -$90,0,0,0,0.5000,0.5000,0.0000,1.0000,1.00,1.00,Unreliable
3,0:45-1:00,-9,-$90 to -$70,0,0,0,0.5000,0.5000,0.0000,1.0000,1.00,1.00,Unreliable
3,0:45-1:00,-8,-$70 to -$50,0,0,0,0.5000,0.5000,0.0000,1.0000,1.00,1.00,Unreliable
3,0:45-1:00,-7,-$50 to -$40,0,0,0,0.5000,0.5000,0.0000,1.0000,1.00,1.00,Unreliable
3,0:45-1:00,-6,-$40 to -$30,0,0,0,0.5000,0.5000,0.0000,1.0000,1.00,1.00,Unreliable
