model_name,p_bucket,predicted_avg,actual_win_rate,count
regime_switching,65-100%,0.9483,1.0000,84
logistic_regression,55-65%,0.6192,1.0000,3164
logistic_regression,65-100%,0.7590,1.0000,19876
ornstein_uhlenbeck,0-35%,0.0204,1.0000,10890
ornstein_uhlenbeck,35-45%,0.3961,1.0000,149
ornstein_uhlenbeck,45-55%,0.4995,1.0000,650
ornstein_uhlenbeck,55-65%,0.6052,1.0000,127
ornstein_uhlenbeck,65-100%,0.9788,1.0000,11224
brownian_bridge,0-35%,0.0406,1.0000,10887
brownian_bridge,35-45%,0.4014,1.0000,359
brownian_bridge,45-55%,0.4992,1.0000,820
brownian_bridge,55-65%,0.5995,1.0000,384
brownian_bridge,65-100%,0.9590,1.0000,10590
black_scholes_digital,0-35%,0.0406,1.0000,10887
black_scholes_digital,35-45%,0.4014,1.0000,359
black_scholes_digital,45-55%,0.4992,1.0000,820
black_scholes_digital,55-65%,0.5995,1.0000,384
black_scholes_digital,65-100%,0.9590,1.0000,10590
