model_name,p_bucket,predicted_avg,actual_win_rate,count
brownian_bridge,0-35%,0.0406,0.2059,10887
brownian_bridge,35-45%,0.4014,0.4708,359
brownian_bridge,45-55%,0.4992,0.4500,820
brownian_bridge,55-65%,0.5995,0.5781,384
brownian_bridge,65-100%,0.9590,0.7760,10590
black_scholes_digital,0-35%,0.0406,0.2059,10887
black_scholes_digital,35-45%,0.4014,0.4708,359
black_scholes_digital,45-55%,0.4992,0.4500,820
black_scholes_digital,55-65%,0.5995,0.5781,384
black_scholes_digital,65-100%,0.9590,0.7760,10590
regime_switching,0-35%,0.1545,0.1358,7554
regime_switching,35-45%,0.4010,0.3475,2092
regime_switching,45-55%,0.4972,0.4758,2993
regime_switching,55-65%,0.5978,0.5735,2040
regime_switching,65-100%,0.8310,0.8122,7909
current_matrix,0-35%,0.1546,0.1357,7552
current_matrix,35-45%,0.4010,0.3486,2091
current_matrix,45-55%,0.4972,0.4753,2994
current_matrix,55-65%,0.5978,0.5718,2041
current_matrix,65-100%,0.8310,0.8125,7910
velocity_matrix,0-35%,0.1517,0.1434,7678
velocity_matrix,35-45%,0.4001,0.3548,2286
velocity_matrix,45-55%,0.5008,0.4821,2626
velocity_matrix,55-65%,0.5991,0.5803,2068
velocity_matrix,65-100%,0.8313,0.7974,7571
logistic_regression,0-35%,0.2499,0.0730,2807
logistic_regression,35-45%,0.4072,0.1902,4526
logistic_regression,45-55%,0.4999,0.4764,8204
logistic_regression,55-65%,0.5922,0.7712,4612
logistic_regression,65-100%,0.7357,0.9301,2891
ornstein_uhlenbeck,0-35%,0.0204,0.6277,10890
ornstein_uhlenbeck,35-45%,0.3961,0.4966,149
ornstein_uhlenbeck,45-55%,0.4995,0.4785,650
ornstein_uhlenbeck,55-65%,0.6052,0.4488,127
ornstein_uhlenbeck,65-100%,0.9788,0.3512,11224
